Difficulty_Rank,Level,Word,Definition
1,1,Ambiguous,Open to more than one interpretation
2,1,Ubiquitous,"Present, appearing, or found everywhere"
3,1,Abundant,Existing or available in large quantities
4,1,Analyze,Examine methodically and in detail
5,1,Anticipate,Regard as probable; expect or predict
6,1,Appropriate,Suitable or proper in the circumstances
7,1,Artifact,An object made by a human being
8,1,Benefit,An advantage or profit gained
9,1,Calculate,Determine mathematically
10,1,Catastrophe,An event causing great and often sudden damage
11,1,Chronological,Starting with the earliest and following the order in which they occurred
12,1,Compose,Write or create a work of art
13,1,Conclusion,The end or finish of an event or process
14,1,Consequence,A result or effect of an action
15,1,Construct,Build or erect
16,1,Continuous,Forming an unbroken whole; without interruption
17,1,Contrast,The state of being strikingly different
18,1,Contribute,Give in order to help achieve or provide something
19,1,Declare,Say something in a solemn and emphatic manner
20,1,Democracy,A system of government by the whole population
21,1,Dimension,An aspect or feature of a situation
22,1,Drastic,Likely to have a strong or far-reaching effect
23,1,Elaborate,Involving many carefully arranged parts
24,1,Encourage,"Give support, confidence, or hope to"
25,1,Equation,A mathematical statement that two expressions are equal
26,1,Evaluate,Form an idea of the amount or value of
27,1,Exaggerate,"Represent as being larger, greater, better, or worse"
28,1,Exhaust,Drain of strength or energy
29,1,Factor,"A circumstance, fact, or influence that contributes to a result"
30,1,Formulate,Create or devise methodically
31,1,Frequent,Occurring or done on many occasions
32,1,Generation,All of the people born and living at about the same time
33,1,Hypothesis,A proposed explanation made on the basis of limited evidence
34,1,Identify,Establish or indicate who or what someone or something is
35,1,Illustrate,Provide with pictures; explain by using examples
36,1,Imitate,Take or follow as a model
37,1,Impact,The action of one object coming forcibly into contact with another
38,1,Implicit,Implied though not plainly expressed
39,1,Incline,Feel willing or favorably disposed toward
40,1,Infer,Deduce or conclude from evidence and reasoning
41,1,Integrate,Combine one thing with another so that they become a whole
42,1,Interpret,Explain the meaning of
43,1,Narrative,A spoken or written account of connected events
44,1,Objective,Not influenced by personal feelings or opinions
45,1,Obligation,An act or course of action to which a person is morally or legally bound
46,1,Obsolete,No longer produced or used; out of date
47,1,Perspective,A particular attitude toward or way of regarding something
48,1,Persuade,Cause someone to do something through reasoning or argument
49,1,Precise,Marked by exactness and accuracy of expression or detail
50,1,Predict,Say or estimate that a specified thing will happen
51,2,Prejudice,Preconceived opinion that is not based on reason or actual experience
52,2,Procedure,An established or official way of doing something
53,2,Profound,Very great or intense
54,2,Provoke,Stimulate or give rise to a reaction or emotion
55,2,Punctual,Happening or doing something at the agreed or proper time
56,2,Recount,Tell someone about something; give an account of an event
57,2,Relevant,Closely connected or appropriate to the matter at hand
58,2,Reluctant,Unwilling and hesitant; disinclined
59,2,Resign,Voluntarily leave a job or other position
60,2,Resolution,A firm decision to do or not to do something
61,2,Retain,Continue to have something; keep possession of
62,2,Significant,Sufficiently great or important to be worthy of attention
63,2,Similar,Resembling without being identical
64,2,Simulate,Imitate the appearance or character of
65,2,Specific,Clearly defined or identified
66,2,Spontaneous,Performed or occurring as a result of a sudden inner impulse
67,2,Stimulate,Raise levels of physiological or nervous activity in the body
68,2,Subsequent,Coming after something in time; following
69,2,Substitute,A person or thing acting or serving in place of another
70,2,Summarize,Give a brief statement of the main points of
71,2,Superficial,Existing or occurring at or on the surface
72,2,Supplement,Something that completes or enhances something else
73,2,Surpass,Exceed; be greater than
74,2,Suspend,Temporarily prevent from continuing or being in force
75,2,Tentative,Not certain or fixed; provisional
76,2,Transfer,Move from one place to another
77,2,Transform,Make a thorough or dramatic change in the form or appearance of
78,2,Translate,Express the sense of words or text in another language
79,2,Transport,Take or carry people or goods from one place to another
80,2,Unanimous,Fully in agreement
81,2,Unique,Being the only one of its kind; unlike anything else
82,2,Valid,Having a sound basis in logic or fact
83,2,Vary,"Differ in size, amount, degree, or nature"
84,2,Verify,Make sure or demonstrate that something is true or accurate
85,2,Violate,Break or fail to comply with a rule or formal agreement
86,2,Vital,Absolutely necessary or important; essential
87,2,Vocabulary,The body of words used in a particular language
88,2,Voluntary,"Done, given, or acting of one's own free will"
89,2,Vulnerable,Susceptible to physical or emotional attack or harm
90,2,Adequate,Satisfactory or acceptable in quality or quantity
91,2,Alternative,One of two or more available possibilities
92,2,Apparent,Clearly visible or understood; obvious
93,2,Approximate,"Close to the actual, but not completely accurate or exact"
94,2,Attitude,A settled way of thinking or feeling about someone or something
95,2,Attribute,A quality or feature regarded as a characteristic
96,2,Capacity,The maximum amount that something can contain
97,2,Clarify,Make a statement or situation less confused and more comprehensible
98,2,Communicate,"Share or exchange information, news, or ideas"
99,2,Complex,Consisting of many different and connected parts
100,2,Component,A part or element of a larger whole
101,3,Aesthetic,Concerned with beauty or the appreciation of beauty
102,3,Affinity,A spontaneous or natural liking or sympathy for someone or something
103,3,Alleviate,"Make suffering, deficiency, or a problem less severe"
104,3,Aloof,Not friendly or forthcoming; cool and distant
105,3,Amicable,Having a spirit of friendliness
106,3,Apathy,"Lack of interest, enthusiasm, or concern"
107,3,Appease,Pacify or placate someone by acceding to their demands
108,3,Arbitrary,Based on random choice or personal whim
109,3,Ascertain,Find something out for certain; make sure of
110,3,Atypical,"Not representative of a type, group, or class"
111,3,Benevolent,Well meaning and kindly
112,3,Candid,Truthful and straightforward; frank
113,3,Coerce,Persuade to do something by using force or threats
114,3,Complacent,Showing smug or uncritical satisfaction with oneself
115,3,Concur,Be of the same opinion; agree
116,3,Condone,Accept and allow behavior that is considered morally wrong
117,3,Cynical,Believing that people are motivated by self-interest
118,3,Deduce,Arrive at a fact or a conclusion by reasoning
119,3,Derive,Obtain something from a specified source
120,3,Deter,Discourage someone from doing something
121,3,Diligence,Careful and persistent work or effort
122,3,Discrepancy,A lack of compatibility or similarity between two or more facts
123,3,Diverse,Showing a great deal of variety; very different
124,3,Eccentric,Unconventional and slightly strange
125,3,Elicit,Evoke or draw out a response from someone
126,3,Eloquence,Fluent or persuasive speaking or writing
127,3,Elude,Evade or escape from a danger or enemy
128,3,Empathy,The ability to understand and share the feelings of another
129,3,Endeavor,Try hard to do or achieve something
130,3,Enhance,"Intensify, increase, or further improve the quality of"
131,3,Enigma,A person or thing that is mysterious or difficult to understand
132,3,Evoke,Bring or recall to the conscious mind
133,3,Exemplify,Be a typical example of
134,3,Explicit,Stated clearly and in detail
135,3,Extraneous,Irrelevant or unrelated to the subject being dealt with
136,3,Fallacy,"A mistaken belief, especially one based on unsound argument"
137,3,Fluctuate,Rise and fall irregularly in number or amount
138,3,Frivolous,Not having any serious purpose or value
139,3,Fundamental,Forming a necessary base or core; of central importance
140,3,Gullible,Easily persuaded to believe something; credulous
141,3,Hierarchical,Arranged in order of rank
142,3,Hypocritical,Behaving in a way that suggests one has higher standards than is the case
143,3,Idiosyncrasy,A mode of behavior or way of thought peculiar to an individual
144,3,Imminent,About to happen
145,3,Impartial,Treating all rivals or disputants equally; fair and just
146,3,Implement,"Put a decision, plan, or agreement into effect"
147,3,Imply,Strongly suggest the truth or existence of
148,3,Incentive,A thing that motivates or encourages one to do something
149,3,Incorporate,Take in or contain something as part of a whole
150,3,Inherent,"Existing in something as a permanent, essential, or characteristic attribute"
151,4,Initiate,Cause a process or action to begin
152,4,Innovation,"A new method, idea, or product"
153,4,Integrity,The quality of being honest and having strong moral principles
154,4,Intricate,Very complicated or detailed
155,4,Intuition,"The ability to understand something immediately, without conscious reasoning"
156,4,Lethargic,Affected by lethargy; sluggish and apathetic
157,4,Lucid,Expressed clearly; easy to understand
158,4,Malicious,Characterized by malice; intending or intended to do harm
159,4,Mandatory,Required by law or rules; compulsory
160,4,Meticulous,Showing great attention to detail; very careful and precise
